item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group
3d0 t-Shirt	3d0 t-shirt	0202VHTJ3EU	84_3d0	21.85	150	02/02/2019 15:51:55 MET		y	3			11				B07FQDV6GK						634438348009			0	DEFAULT	Modello Amazon predefinito
3d0 t-Shirt	3d0 t-shirt	0202VHXVW1D	85_3d0	172.5	150	02/02/2019 15:51:56 MET		y	3			11				B07FQDCQV2						634438122630			0	DEFAULT	Modello Amazon predefinito
3d0 t-Shirt	3d0 t-shirt	0202VHVWYFP	86_3d0	21.85	150	02/02/2019 15:51:57 MET		y	3			11				B07FQKTB1D						634438741473			0	DEFAULT	Modello Amazon predefinito
3d0 t-Shirt	3d0 t-shirt	0202VHUZ6QB	87_3d0	23.18	150	02/02/2019 15:51:58 MET		y	3			11				B07LGC2ZDN						634438479574			0	DEFAULT	Modello Amazon predefinito
3d0 t-Shirt	3d0 t-shirt	0202VHUJM4H	88_3d0	23.18	150	02/02/2019 15:52:00 MET		y	3			11				B07LGB4DYK						634438707851			0	DEFAULT	Modello Amazon predefinito
3d0 t-Shirt	3d0 t-shirt	0202VHTBCFL	91_3d0	23.18	150	02/02/2019 15:52:01 MET		y	3			11				B07LGBCP6Q						634438086970			0	DEFAULT	Modello Amazon predefinito
3d0 t-Shirt	3d0 t-shirt	0202VHVHXEY	92_3d0	23.18	150	02/02/2019 15:51:54 MET		y	3			11				B07LGC1LQT						634438381020			0	DEFAULT	Modello Amazon predefinito
3d0 t-Shirt	3d0 t-shirt	0202VHS93PO	93_3d0	23.18	150	02/02/2019 15:51:56 MET		y	3			11				B07LGCTM6L						634438906940			0	DEFAULT	Modello Amazon predefinito
3d0 t-Shirt	3d0 t-shirt	0202VHVBXSY	94_3d0	23.18	150	02/02/2019 15:51:57 MET		y	3			11				B07LGD1P6C						634438298809			0	DEFAULT	Modello Amazon predefinito
3d0 t-Shirt	3d0 t-shirt	0202VHVJJO0	95_3d0	23.18	150	02/02/2019 15:51:58 MET		y	3			11				B07LGFHWML						634438857952			0	DEFAULT	Modello Amazon predefinito
3d0 t-Shirt	3d0 t-shirt	0202VHTTIGN	96_3d0	23.18	150	02/02/2019 15:51:59 MET		y	3			11				B07LGDSZZ8						634438837404			0	DEFAULT	Modello Amazon predefinito
3d0 t-Shirt	3d0 t-shirt	0202VHTIWVK	97_3d0	23.18	150	02/02/2019 15:52:01 MET		y	3			11				B07LGD2WM2						634438178910			0	DEFAULT	Modello Amazon predefinito
3d0 t-Shirt	3d0 t-shirt	0202VHV4BN9	99_3d0	23.18	150	02/02/2019 15:52:02 MET		y	3			11				B07LGCWJL2						634438082071			0	DEFAULT	Modello Amazon predefinito
